date,open,high,low,close,volume,amount
20201230,10050.000,10080.000,10000.000,10030.000,170,1707400
20201231,-0.001,-0.001,-0.001,0.000,0,0
20210101,-0.001,-0.001,-0.001,0.000,0,0
20210104,10030.000,10050.000,10030.000,10030.000,870,8732200
20210105,10050.000,10080.000,10040.000,10080.000,310,3117100
20210106,10150.000,10170.000,10100.000,10120.000,460,4659700
20210107,10200.000,10200.000,10120.000,10190.000,530,5388900
20210108,10320.000,10320.000,10140.000,10170.000,1100,11220400
20210111,-0.001,-0.001,-0.001,0.000,0,0
20210112,10280.000,10350.000,10190.000,10270.000,1200,12306500
20210113,10290.000,10470.000,10280.000,10300.000,440,4546400
20210114,10470.000,10500.000,10320.000,10380.000,810,8416400
20210115,10380.000,10380.000,10300.000,10330.000,570,5894800
20210118,10480.000,10480.000,10270.000,10270.000,1880,19492100
20210119,10260.000,10380.000,10200.000,10380.000,720,7388300
20210120,10420.000,10420.000,10360.000,10380.000,210,2184000
20210121,10450.000,10450.000,10350.000,10360.000,670,6966100
20210122,10400.000,10400.000,10320.000,10370.000,500,5180600
20210125,10380.000,10430.000,10370.000,10370.000,580,6026100
20210126,10400.000,10430.000,10070.000,10070.000,2090,21286800
20210127,10350.000,10350.000,10170.000,10270.000,940,9684400
20210128,10120.000,10150.000,9970.000,10140.000,1450,14606100
20210129,10150.000,10260.000,10080.000,10150.000,300,3049400
20210201,10250.000,10250.000,10000.000,10080.000,1300,13141200
20210202,10220.000,10220.000,10080.000,10090.000,1110,11235000
20210203,10170.000,10200.000,10110.000,10190.000,360,3664800
20210204,10220.000,10220.000,10070.000,10090.000,840,8519700
20210205,10150.000,10150.000,10020.000,10020.000,910,9176100
20210208,10030.000,10090.000,9970.000,10010.000,2980,29828800
20210209,9950.000,10010.000,9950.000,9960.000,2120,21126600
20210210,9960.000,9970.000,9870.000,9900.000,3330,33038100
20210212,9940.000,9960.000,9880.000,9920.000,2370,23499100
20210215,9980.000,10150.000,9940.000,9990.000,2690,26866300
20210216,10020.000,10090.000,10010.000,10050.000,1460,14687200
20210217,10040.000,10100.000,10000.000,10080.000,1400,14078300
20210218,10060.000,10090.000,10030.000,10030.000,510,5132800
20210219,10060.000,10060.000,9910.000,9950.000,2940,29264400
20210222,10010.000,10010.000,9920.000,9930.000,1160,11570200
20210224,9940.000,9940.000,9850.000,9910.000,2770,27411100
20210225,10020.000,10070.000,9950.000,10050.000,1620,16213800
20210226,9950.000,10000.000,9840.000,9910.000,3450,34169500
20210301,10010.000,10010.000,9900.000,9900.000,850,8456700
20210302,9950.000,9950.000,9890.000,9910.000,580,5751600
20210303,9950.000,9950.000,9840.000,9890.000,2420,23896200
20210304,9890.000,9900.000,9840.000,9860.000,980,9670200
20210305,9940.000,9940.000,9860.000,9890.000,590,5849300
20210308,9980.000,9980.000,9910.000,9940.000,530,5274500
